date,maximum_temp,minimum_temp
1028,9.1,6.8
1029,9.8,7.3
1030,14.2,10.0
1031,13.4,11.5
1032,12.8,9.5
1033,9.9,4.4
1034,16.6,13.3
1035,12.3,9.3
1036,12.5,7.3
1037,7.9,2.0
1038,9.4,7.9
1039,12.7,9.5
1040,13.5,12.2
1041,12.7,10.4
1042,12.3,9.5
1043,12.5,8.4
1044,16.1,14.7
1045,14.5,11.7
1046,11.9,7.6
1047,10.4,6.8
1048,7.9,6.5
1049,15.0,8.0
1050,14.8,7.2
1051,8.7,6.1
1052,12.0,6.2
1053,10.1,8.4
1054,7.5,6.1
1055,3.6,-0.3
1056,4.5,0.9
1057,5.3,-3.0
1058,9.5,6.8
1059,7.8,6.4
1060,9.4,8.1
1061,12.5,10.2
1062,6.5,3.8
1063,9.3,5.8
1064,6.9,3.7
1065,6.6,-0.4
1066,12.8,11.1
1067,5.5,1.8
1068,8.8,4.0
1069,12.1,10.6
1070,13.5,7.4
1071,10.3,3.3
1072,13.6,11.2
1073,11.1,5.6
1074,11.6,7.3
1075,7.5,3.5
1076,6.8,4.6
1077,3.5,-1.5
1078,7.9,4.9
1079,8.7,6.7
1080,12.7,10.5
1081,14.7,11.8
1082,12.7,11.7
1083,15.4,12.5
1084,12.6,10.2
1085,9.5,7.3
1086,13.8,7.9
1087,10.3,6.6
1088,11.4,7.3
1089,6.9,4.7
1090,12.8,5.3
1091,7.9,3.3
1092,12.9,9.6
1093,12.5,8.8
1094,12.6,8.9
1095,7.4,4.5
